414/89,020 TIM m,Text,,10 Nov. 1989,,,000-099,,Available,,,,,IDR,,,,Membina Perpustakaan Sekolah
2563,158.2 TUG s,Text,,25-Sep-04,,,100-199,,Available,,,,,IDR,,,,101 Pernik Kehidupan
6475,131 NUR r,Text,,25-Nov-15,,,100-199,,Available,,,,,IDR,,,,Raih Beasiswa Melalui Restu Ibu
6557,128 KEI a,Text,,19-Sep-16,,,100-199,,Available,,,,,IDR,,,,Ayo Jual Diri
5569,158.2,Text,,3 Agustus 2011,,,100-199,,Available,,,,,IDR,,,,Ibu Bijak Menghasilkan Anak-Anak Hebat
7765,158.1,Text,,25 Agustus 2023,,,100-199,,Available,,,,,IDR,,,,Tips Dan Trik Pribadi Yang Tenang
6022,150 JIH f,Text,,24 Mei 2013,,,100-199,,Available,,,,,IDR,,,,Follow Your Passion
5804,128 TIM k2,Text,,17-Apr-12,,,100-199,,Available,,,,,IDR,,,,Kumpulan Kisah Inspiratif 2
4849,128 MOE t,Text,,16 Oktober 2009,,,100-199,,Available,,,,,IDR,,,,Tumbuh Di Tengah Badai
3910,155.5 SIL h,Text,,9 Juli 2006,,,100-199,,Available,,,,,IDR,,,,"Hey Girls, Watch Out! How To Be Smart Girl"
4551,158.2,Text,,2 maret 2009,,,100-199,,Available,,,,,IDR,,,,Buatlah Orang lain Merasa sangat Berharga 
4942,155.5 SAP p,Text,,3 Januari 2010,,,100-199,,Available,,,,,IDR,,,,pacaran AsyikDan Cerdas
3793,152.4 WIJ k,Text,,25-Sep-04,,,100-199,,Available,,,,,IDR,,,,Keajaiban & Kekuatan Emosi
4866,155.5 MAS t,Text,,12 Agustus 2008,,,100-199,,Available,,,,,IDR,,,,Panduan Bagi Cewek Untuk Mencintai Diri Sendiri
4499,158.2 NAI p,Text,,8 Mei 2008,,,100-199,,Available,,,,,IDR,,,,Pede Aja Lagi!!!
6092,155 BRO m,Text,,30-Sep-13,,,100-199,,Available,,,,,IDR,,,,Menyembuhkan Patah Hati Dalam 30 Hari
0233,153.8 GET m,Text,,6 Agustus 1984,,,100-199,,Available,,,,,IDR,,,,Mengungkapkan Rahasia Hidupnya Dalam Menjadi Kaya Raya
3842,155.5 MET s,Text,,18 mei 2006,,,100-199,,Available,,,,,IDR,,,,Semua Tentang Teman
1711,150 TIM t,Text,,24 Agustus 1993,,,100-199,,Available,,,,,IDR,,,,Tantangan Membina Kepribadian
4569,173 SUB t,Text,,5 Maret 2009,,,100-199,,Available,,,,,IDR,,,,Tangan Paling Cantik
2507,152.4 BAS j,Text,,25-Sep-04,,,100-199,,Available,,,,,IDR,,,,Jejak-jejak Kebijaksanaan
4566,158.1 ZEN k,Text,,2 Maret 2009,,,100-199,,Available,,,,,IDR,,,,Kiat Sukses Mengikuti Sertifikasi Guru
4883,137 HEL m,Text,,11-Nov-09,,,100-199,,Available,,,,,IDR,,,,Menguak Rahasia Tulisan Tangan & tanda Tangan
5657,153 WEB b,Text,,23 Juli 2011,,,100-199,,Available,,,,,IDR,,,,Belajar Mandiri
5781,155.6 WHA h,Text,,11-Apr-12,,,100-199,,Available,,,,,IDR,,,,How To Have Great Relationships
3203,170 HER m2,Text,,3 Agustus 2002,,,100-199,,Available,,,,,IDR,,,,Mutiara kehidupan 2
5337,158.2,Text,,29-Sep-10,,,100-199,,Available,,,,,IDR,,,,Setengah Isi Setengah Kosong
6703,139.3 UTA k,Text,,17 Juli 2017,,,100-199,,Available,,,,,IDR,,,,Kisah Orang-Orang Capricon
5014,138 WOO s,Text,,24 Februari 2010,,,100-199,,Available,,,,,IDR,,,,Seni membaca Wajah
3560,177 WID c,Text,,25-Sep-09,,,100-199,,Available,,,,,IDR,,,,Cinta Selayang Pandang Sebuah Tanya Jawab
4815,154.7 WAR h,Text,,12 Juli 2008,,,100-199,,Available,,,,,IDR,,,,Hipnotisme
2845,150 Har s,Text,,11 Desember 2000,,,100-199,,Available,,,,,IDR,,,,Stres Tanpa Distres ; Seni Mengolah Stres
3877,155.5 KWI t,Text,,1 Juli 2006,,,100-199,,Available,,,,,IDR,,,,Top Tips Buat Remaja Yang Gaul 'N Open Minded
5363,153 MEL a,Text,,29-Sep-10,,,100-199,,Available,,,,,IDR,,,,Awareness : butir-Butir Mutiara Pencerahan
4693,128 LOS l,Text,,2 Juli 2008,,,100-199,,Available,,,,,IDR,,,,Law Of Attraction
0223,150 GUN p,Text,,6 Agustus 1984,,,100-199,,Available,,,,,IDR,,,,Psikologi Anak Bermasalah
3909,155.3 MAS s,Text,,9 Juli 2006,,,100-199,,Available,,,,,IDR,,,,100 langkah Agar kamu Bisa Mencintai Diri kamu Sendiri
2553,152.4 HAR t,Text,,25-Sep-04,,,100-199,,Available,,,,,IDR,,,,35 Cara Mengurangi Stres
4545,158.2 SHA w,Text,,2 Maret 2009,,,100-199,,Available,,,,,IDR,,,,Wisdom's Choice
4211,170 MAL a,Text,,19 Juli 2007,,,100-199,,Available,,,,,IDR,,,,A Pearl Of Wareness
6513,155.25 PAR p,Text,,5 Juni 2016,,,100-199,,Available,,,,,IDR,,,,Play With Smart
3295,152.4 AMO b,Text,,16-Sep-02,,,100-199,,Available,,,,,IDR,,,,Brave : Berani
3297,152.4 AMO a,Text,,16-Sep-02,,,100-199,,Available,,,,,IDR,,,,Angry : marah
3260,152.4 AMO k,Text,,16-Sep-02,,,100-199,,Available,,,,,IDR,,,,Kind : Baik Hati
3272,152.4 AMO a,Text,,16-Sep-02,,,100-199,,Available,,,,,IDR,,,,Afraid : Takut
3277,152.4 AMO r,Text,,16-Sep-02,,,100-199,,Available,,,,,IDR,,,,Reliable : BertanggungJawab
3299,152.4 AMO c,Text,,16-Sep-02,,,100-199,,Available,,,,,IDR,,,,Confident : Percaya Diri
3274,152.4 AMO l,Text,,12-Sep-02,,,100-199,,Available,,,,,IDR,,,,Lonely : Rasa Sepi
3275,152.4 AMO h,Text,,12-Sep-02,,,100-199,,Available,,,,,IDR,,,,Honest : Jujur
3276,152.4 AMO f,Text,,12-Sep-02,,,100-199,,Available,,,,,IDR,,,,Fair : Adi
3273,152.4 AMO h,Text,,12-Sep-02,,,100-199,,Available,,,,,IDR,,,,Hurt : Sakit hati
3271,152.4 AMO h,Text,,12-Sep-02,,,100-199,,Available,,,,,IDR,,,,Happy : Gembira
3296,152.4 AMO j,Text,,12-Sep-02,,,100-199,,Available,,,,,IDR,,,,Jealous : Iri hati
3259,152.4 AMO s,Text,,12-Sep-02,,,100-199,,Available,,,,,IDR,,,,Sad : Sedih
6025,158.2 DUH t,Text,,24 Mei 2013,,,100-199,,Available,,,,,IDR,,,,The Power Of Habit : Dahsyatnya Kebiasaan
5075,131 GUN b,Text,,12-Apr-10,,,100-199,,Available,,,,,IDR,,,,Becoming A Money Magnet
4543,155.2 BIS m,Text,,2 Maret 2009,,,100-199,,Available,,,,,IDR,,,,My Teens My Inspiration
4500,158.2 DEM p,Text,,18 Februari 2009,,,100-199,,Available,,,,,IDR,,,,Pentingnya Kesan Pertama
5343,158.4 Low h,Text,,29-Sep-10,,,100-199,,Available,,,,,IDR,,,,Heroic Leadership
4542,177  BER k,Text,,2 Maret 2009,,,100-199,,Available,,,,,IDR,,,,Keprihatinan Moral
6637,177 TIM p,Text,,7-Apr-17,,,100-199,,Available,,,,,IDR,,,,Persahabatan ku …
5052,128 GOR m,Text,,6-Apr-10,,,100-199,,Available,,,,,IDR,,,,Menjadi Orangtua Efektif
3608,155.5,Text,,16 Oktober 2009,,,100-199,,Available,,,,,IDR,,,,It's My Life 9Diary Plus Buat Remaja )
5283,177 HAR e,Text,,16-Sep-10,,,100-199,,Available,,,,,IDR,,,,Etika Komunikasi
4497,177 BEH k,Text,,18 Februari 2009,,,100-199,,Available,,,,,IDR,,,,Kalau Putus Ya Putus Aja!
4502,158.2 GRA p,Text,,18 Februari 2009,,,100-199,,Available,,,,,IDR,,,,Practical Miracles For Mars & Venus
1668,170,Text,,24 Juni 1993,,,100-199,,Available,,,,,IDR,,,,Mengembangkan Kreativitas 
3597,153 CLA l2000,Text,,16 Oktober 2004,,,100-199,,Available,,,,,IDR,,,,Langkah-Langkah Yang Teruji Menumbuhkan Rasa Percaya Diri Anak Anda
4875,158.2 CHR s,Text,,16 Oktober 2009,,,100-199,,Available,,,,,IDR,,,,"Stop Katakan, ""Saya Sibuk!"""
4666,158.2 WEB t,Text,,16 mei 2009,,,100-199,,Available,,,,,IDR,,,,7 Langkah Sederhana Untuk Mengubah Hidup Menjadi Lebih Bermakna
4803,153 HAR c,Text,,12 Juli 2008,,,100-199,,Available,,,,,IDR,,,,Cara pintar Lolos Psikotes
3594,155.5,Text,,16 Oktober 2004,,,100-199,,Available,,,,,IDR,,,,harga Diri Remaja 
6852,150 TIM c,Text,,17 Juli 2017,,,100-199,,Available,,,,,IDR,,,,Cara Dodol Jadi Cowok Cool
5650,158.1 KAR m,Text,,23 Juli 2011,,,100-199,,Available,,,,,IDR,,,,Mindset revolution For Smart teens
7013,153 HAR s,Text,,20 Desember 2018,,,100-199,,Available,,,,,IDR,,,,101 Trik hancurkan Kebiasaan Buruk Dengan Kebiasaan Hebat
7046,158 BRA s,Text,,10 Juni 2019,,,100-199,,Available,,,,,IDR,,,,Si cacing Dan Kotoran Kesayangannya 2
6488,158 BRA s,Text,,25-Nov-15,,,100-199,,Available,,,,,IDR,,,,Si cacing Dan Kotoran Kesayangannya 3
6545,128 TIM s,Text,,5 Agustus 2016,,,100-199,,Available,,,,,IDR,,,,Secangkir Kopi Adem
6547,128 WIY s,Text,,8 Agustus 2016,,,100-199,,Available,,,,,IDR,,,,Save Our Children From School Bullying
5341,173 BAT b,Text,,29-Sep-10,,,100-199,,Available,,,,,IDR,,,,Born To Be Happy
5514,158.1,Text,,3 Maret 2011,,,100-199,,Available,,,,,IDR,,,,Kisah Keluarga Tikus
5651,158.2 CAH b,Text,,23 Juli 2011,,,100-199,,Available,,,,,IDR,,,,Belajar dari sahabat Muda
6521,158.2 DJA d,Text,,5Juni 2016,,,100-199,,Available,,,,,IDR,,,,Dari kampung Jadi Diplomat Ulung
3548,155.2 PET i,Text,,16 Oktober 2004,,,100-199,,Available,,,,,IDR,,,,I Love Me
4439,158.1 HIL k,Text,,6 januari 2009,,,100-199,,Available,,,,,IDR,,,,Keys To Positive Thingking
698,170 SAR e,Text,,21 Agustu 1990,,,100-199,,Available,,,,,IDR,,,,Etiket Bergaul
5060,158.2 NUG m,Text,,6-Apr-10,,,100-199,,Available,,,,,IDR,,,,Meditasi bagi para Eksekutif
4550,158.2 MAN m,Text,,2 Maret 2009,,,100-199,,Available,,,,,IDR,,,,Manajemen Emosi
6141,135 KAM m,Text,,3 Januari 2014,,,100-199,,Available,,,,,IDR,,,,Mitos-Mitos Dunia
6019,153 SUS p,Text,,24 Mei 2013,,,100-199,,Available,,,,,IDR,,,,Pemulihan Jiwa  : Kekuatan Ada Saat Aku Iklhas
0854,150 KNY p,Text,,2 Agustus 1988,,,100-199,,Available,,,,,IDR,,,,Problem Yang Dihadapi Muda Mudi
5779,155.5 GUN p,Text,,11-Apr-12,,,100-199,,Available,,,,,IDR,,,,Pertengkaran Bumbu Atau Racun Dalam Keluarga?
5778,155.5 GUN m,Text,,11-Apr-12,,,100-199,,Available,,,,,IDR,,,,Membentuk Anak Perempuan Menjadi Wanita Dewasa
4503,158.2 KOL t,Text,,8 Mei 2008,,,100-199,,Available,,,,,IDR,,,,Tea Time For Heart & Mind
5089,155.6 PEL t,Text,,15-Apr-10,,,100-199,,Available,,,,,IDR,,,,The Compleat Marriage
5459,153 AZZ m,Text,,17 Desember 2012,,,100-199,,Available,,,,,IDR,,,,Mengembangkan Kecerdasan Spiritual bagi Anak
5897,158 LIP n,Text,,17 Oktober 2012,,,100-199,,Available,,,,,IDR,,,,Nikmati Hidup setiap hari Seolah Hari Terakhir Kita
4579,128 NAD j,Text,,13-Apr-09,,,100-199,,Available,,,,,IDR,,,,Jurus Sehat Tanpa Ongkos
7102,128 EFF m,Text,,11-Sep-19,,,100-199,,Available,,,,,IDR,,,,Mencapai Tujuan Hidup yang Sebenarnya 
3606,155.5 LIE s,Text,,16 Oktober 2004,,,100-199,,Available,,,,,IDR,,,,101 cara Menumbuhkan Percaya Diri Anak
7104,155.4 QUR m,Text,,11-Sep-19,,,100-199,,Available,,,,,IDR,,,,Motivation For Student Belajar Semangat Pada Nyamuk Yang Kecil
6865,131,Text,,17 Juli 2017,,,100-199,,Available,,,,,IDR,,,,Guyu Hidup Tenang Mati Senang
600,150 TAM m,Text,,30 Juli 1988,,,100-199,,Available,,,,,IDR,,,,Mencegah Kenakalan remaja
5730,155.5 HAN c,Text,,31 Oktober 2011,,,100-199,,Available,,,,,IDR,,,,Cara Jiyu Menjadi Remaja Berprestasi
6728,155 HIR a,Text,,5 Juni 2017,,,100-199,,Available,,,,,IDR,,,,Art Is Fun
4814,158,Text,,12 Juli 2008,,,100-199,,Available,,,,,IDR,,,,Ilmu Budaya dasar : Kumpulan essay manusia Dan Budaya
5460,158.1 JUN s,Text,,17 Desember 2010,,,100-199,,Available,,,,,IDR,,,,Smart In Personality
5220,155 APR k,Text,,18 Agustus 2010,,,100-199,,Available,,,,,IDR,,,,kudidik Diriku Demi Mendidik Anakku
3719,155.2 BAC m,Text,,7 oktober 2005,,,100-199,,Available,,,,,IDR,,,,Make Your Dreams Come True
6468,128 TIM s,Text,,25-Nov-15,,,100-199,,Available,,,,,IDR,,,,Semangat & Totalitas Membangun Negeri
5806,128 COU s,Text,,17-Apr-12,,,100-199,,Available,,,,,IDR,,,,Shaneen Anjing Penyembuh keluarga
5629,155.4 KHA a,Text,,21 mei 2011,,,100-199,,Available,,,,,IDR,,,,A+ Guys
6663,128 CAR h,Text,,8-Apr-17,,,100-199,,Available,,,,,IDR,,,,How To Enjoy Your Life And Your Job
7222,108 TIM s,Text,,11 Agustus 2020,,,100-199,,Available,,,,,IDR,,,,Semua karena Cinta
504,155.5 TIM r,Text,,25-Sep-04,,,100-199,,Available,,,,,IDR,,,,Remaja Tentang Hedonisme
3876,155.6 ENH a,Text,,1 Juli 2006,,,100-199,,Available,,,,,IDR,,,,A Wisdom For Adolescent
3927,155.5 WIS t,Text,,13 Juli 2013,,,100-199,,Available,,,,,IDR,,,,Tips Jitu Menjadi remaja Yang Gaul
3929,155.5 KWI s,Text,,13 .juli 2006,,,100-199,,Available,,,,,IDR,,,,Smart Tips For Smart teenagers
5205,155.5 YAH p,Text,,21 Juli 2010,,,100-199,,Available,,,,,IDR,,,,Pacaran Ada Sebalnya
4377,153 SUK p,Text,,10-Nov-11,,,100-199,,Available,,,,,IDR,,,,Progressive Learning
0855,150 KNY d,Text,,2 Agustus 1988,,,100-199,,Available,,,,,IDR,,,,Dunia Muda Mudi
5725,155.6 RUM t,Text,,31 oktober 2011,,,100-199,,Available,,,,,IDR,,,,Tuntunan Cerdas Menikmati Hari Tua
3681,150 HAR t,Text,,11 mei 2005,,,100-199,,Available,,,,,IDR,,,,7 Perusak Pribadi manusia
4559,181.4 KRI m,Text,,2 maret 2009,,,100-199,,Available,,,,,IDR,,,,Mengkuti Irama Kehidupan Tao The Ching bagi Orang Modern
3933,155.5 AGU b,Text,,13 Juli 2006,,,100-199,,Available,,,,,IDR,,,,Bete Abis!
3720,155.5 AGU h,Text,,7 Oktober 2005,,,100-199,,Available,,,,,IDR,,,,Help Me : Konsultasi ABG
2555,158.1 WID k,Text,,25-Sep-04,,,100-199,,Available,,,,,IDR,,,,Kiat Hidup Sykses
5082,137 TAU,Text,,15-Apr-10,,,100-199,,Available,,,,,IDR,,,,Karakter & Potensi Melalui Tulisan Tangan
2848,153 HAR t,Text,,11 Desember 2000,,,100-199,,Available,,,,,IDR,,,,35 Cara mengurangi Stres
6624,154.6 SCH h,Text,,13 Februari 2017,,,100-199,,Available,,,,,IDR,,,,Hentikan Ngorok!!
705,170 CHA h,Text,,1-Sep-90,,,100-199,,Available,,,,,IDR,,,,Hidup Bersama Orang Lain
3114,170 KRI b,Text,,2 Januari 2002,,,100-199,,Available,,,,,IDR,,,,Bebas kekerasan
4799,133.8 KAT r,Text,,26 Agustus 2009,,,100-199,,Available,,,,,IDR,,,,Ratapan Arwah
3736,155.5 GIS t,Text,,7 Oktober 2005,,,100-199,,Available,,,,,IDR,,,,7 Mitos Pacaran
3861,158.4 WHI s,Text,,31 mei 2006,,,100-199,,Available,,,,,IDR,,,,Sukses memimpin
4496,177 PAN j,Text,,18 Februari 2009,,,100-199,,Available,,,,,IDR,,,,Jomblo itu keren
-,170 PRI c,Text,,16 Februari 1997,,,100-199,,Available,,,,,IDR,,,,Cari tau Sendiri
5726,158.2 OMI e,Text,,31 Oktober 2011,,,100-199,,Available,,,,,IDR,,,,65 Cerita Tentang Kebahagiaan
6988,155.25 ZOUi,Text,,10-Nov-18,,,100-199,,Available,,,,,IDR,,,,Ini Gue Suwer!!!
4428,153 DEE t,Text,,5 januari 2009,,,100-199,,Available,,,,,IDR,,,,The Girl's Book Of Friendship
4580,158 MAX m,Text,,13-Apr-09,,,100-199,,Available,,,,,IDR,,,,make To day Count
3997,155.5 BRO t,Text,,25 Juli 2006,,,100-199,,Available,,,,,IDR,,,,Tips Buat ABG Untuk Curhat Pada Ortu
4570,177 DEW c,Text,,16 Oktober 2009,,,100-199,,Available,,,,,IDR,,,,Cinta Bukan Cokelat
,155.4 TIM p,Text,,13 Februari 2017,,,100-199,,Available,,,,,IDR,,,,pikiran Positif
6991,155.25 TIM b,Text,,10-Nov-18,,,100-199,,Available,,,,,IDR,,,,buku Pintar Cewek
4529,155.2 CON a,Text,,2 Maret 2009,,,100-199,,Available,,,,,IDR,,,,Apa Kata Tuhan Tentang karakter
3495,158 WID s,Text,,25-Sep-04,,,100-199,,Available,,,,,IDR,,,,10 Kiat Menjadi Bahagia
2722,131 HAR k,Text,,5-Nov-94,,,100-199,,Available,,,,,IDR,,,,Kunci Mencapai Sukses
7256,158.4 TIM p,Text,,8 Oktober 2010,,,100-199,,Available,,,,,IDR,,,,Psikology Kepemimpinan
7255,158.2 AMO m,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Mengapa tidak Ramah?
7253,155.4 TIM f,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Formasi Dasar Orantg Muda
7252,158 AUL k,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Kupas Tuntas Menstruasi Dari A Sampai Z
7251,158 WES e,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Effective Ateam Work
7250,177 mHER m,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Mutiara Kehidupan 3
7249,158.4 JON y,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Yesus Chief Executive Officer
7248,158 ULF i,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Inspiiring Stories For Kids
7247,155.5 MAN j,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Jadilah Dirimu Sendiri
7246,153 MUL v,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Vitamins For Your Soul : Vitamin Bagi Jiwa
7245,150 SUM m,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Membangun karakter 
7244,158.2 NOU b,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Bisikan Cinta Tersembunyi
7243,153.8 PRA y,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,You Are What You Think
4659,158 OLI j,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Jurus Untuk Jadi Cewek Kredibel
7241,158.2 WHE h,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Hati ke hati Ragam Kisah tentang Persahabatan
7242,158.4 NAI a,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,A Higher Standard Of Leadership
6748,153 AGU e,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Extreme Productivity : 
601,150 Har s,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Saya Kamu Oke
7144,155 PAT c,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Change Anything
7141,153.8 ROB m,Text,,8 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Man-Getsu
7138,158.1 HYA l,Text,,29 Oktober 2019,,,100-199,,Available,,,,,IDR,,,,Living Forward A Proven Plan To Stop Drifing And Get The Life You Want
6533,128 TJA m,Text,,5 Agustus 2016,,,100-199,,Available,,,,,IDR,,,,manusia Matahari
5314,154.7 HAK h,Text,,27-Sep-10,,,100-199,,Available,,,,,IDR,,,,"Hipnoterapi  : Cara Tepat & Cepat Mengatasi stres, fabia, trauma, & gangguan Mental lainnya"
3591,155.5 ESP b,Text,,16 Oktober 2004,,,100-199,,Available,,,,,IDR,,,,Buku pintar Remaja Gaul 
3497,128 MEN m,Text,,25-Sep-04,,,100-199,,Available,,,,,IDR,,,,Menjadi Pribadi Utuh
6430,128 AGU k,Text,,22-Sep-15,,,100-199,,Available,,,,,IDR,,,,Keseimbangan Totalitas
4658,158 CHA s ,Text,,2 Juli 2008,,,100-199,,Available,,,,,IDR,,,,100 Ways To Motivate Yourself
1984,170 SUS e,Text,,11 Oktober 1994,,,100-199,,Available,,,,,IDR,,,,Etika Jawa : Sebuah Analisa Falsafi tentang Kebijaksanaan Hidup Jawa
5898,158.2 nSET i,Text,,17 Oktober 2012,,,100-199,,Available,,,,,IDR,,,,I Believe I Can Fly!
5886,158.4 PUR c,Text,,18-Sep-19,,,100-199,,Available,,,,,IDR,,,,calling To Lead : panggilan Untuk Memimpin
6863,153 BON e,Text,,17 Juli 2017,,,100-199,,Available,,,,,IDR,,,,How To Be More Interesting
4549,158.2 FAB b,Text,,17 Juli 2017,,,100-199,,Available,,,,,IDR,,,,Berbicara Agar Anak Mau Mendengar & Mendengar Agar Anak Mau Bicara
4499,158.2 TAL       t,Text,,18 Februari 2009,,,100-199,,Available,,,,,IDR,,,,The Black Swan
6682,158.1 PAT d,Text,,23 Mei 2017,,,100-199,,Available,,,,,IDR,,,,Dream And Destiny
4678,155 ASW r,Text,,5 Juni 2009,,,100-199,,Available,,,,,IDR,,,,Rahasia Cowok
0276,153.2 GET c,Text,,6 Agustus 1984,,,100-199,,Available,,,,,IDR,,,,Cara Berusaha Menjadi Kaya
6707,153 TIM p,Text,,17 Juli 2017,,,100-199,,Available,,,,,IDR,,,,Personal Success Cockpit
7084,158 YEN b,Text,,29 Agustus 2019,,,100-199,,Available,,,,,IDR,,,,Baca Buku Ini Saat Engkau Lelah
3579,155.6 WAL e,Text,,25-Sep-04,,,100-199,,Available,,,,,IDR,,,,Expansive Marriage
4867,155.2 LAW m,Text,,16 Oktober 2009,,,100-199,,Available,,,,,IDR,,,,Menjaga Otak Anda Tetap Hidup!
4501,158.2 GRA m,Text,,18 Februari 2009,,,100-199,,Available,,,,,IDR,,,,Mars'n Venus In Love
4685,158.1 WAL h,Text,,2 Juli 2008,,,100-199,,Available,,,,,IDR,,,,Hidup Tanpa Stres
3773,158.1 DEE t,Text,,4-Apr-04,,,100-199,,Available,,,,,IDR,,,,The Girl's Book Of Success
5728,153 SUM t,Text,,31 Oktober 2011,,,100-199,,Available,,,,,IDR,,,,The Secret & Ourose Driven Life
0222,150 GUN p,Text,,6 Agustus 1984,,,100-199,,Available,,,,,IDR,,,,Psikologi Untuk Keluarga
7134,158.1 AST b,Text,,26 Oktober 2019,,,100-199,,Available,,,,,IDR,,,,banyak jalan Menuju Hawaii
3845,155.5 ASG i,Text,,22 Juni 2006,,,100-199,,Available,,,,,IDR,,,,Ini Gue!
0860,150 HID s,Text,,7-Sep-88,,,100-199,,Available,,,,,IDR,,,,surat-surat Pribadi Ilona
3831,155.5 IND  c,Text,,11-Apr-06,,,100-199,,Available,,,,,IDR,,,,Cool Habits Of The Nexter-Gen
3076,150 SHI r,Text,,11 Desember 2001,,,100-199,,Available,,,,,IDR,,,,Rasa malu Sebagai Hambatan Kemajuan
4210,113.8 GIB s,Text,,19 Juli 2007,,,100-199,,Available,,,,,IDR,,,,Semua Karena Cinta
223,150 GUN p,Text,,6 Agustus 1984,,,100-199,,Available,,,,,IDR,,,,Psikologi Anak Bermasalah
5649,177 ABA b,Text,,23 Juli 2011,,,100-199,,Available,,,,,IDR,,,,Berani-Jadilah Dirihmu!
4844,128.5 YUN p,Text,,4-Sep-09,,,100-199,,Available,,,,,IDR,,,,Pelangi Di Balik Reruntuhan Akibat Gempa 
5340,152.4 HAR b,Text,,29-Sep-10,,,100-199,,Available,,,,,IDR,,,,be happy
5933,158 RIY m,Text,,20 Februari 2013,,,100-199,,Available,,,,,IDR,,,,Mau bahagia?
3203,170 HER m2,Text,,3 Agustus 2002,,,100-199,,Available,,,,,IDR,,,,Mutiara Kehidupan 2
2846,150 HAR p,Text,,11 Desember 2000,,,100-199,,Available,,,,,IDR,,,,Perusak Pribadi manusia
2847,150CEN m,Text,,11 Desember 2000,,,100-199,,Available,,,,,IDR,,,,Mengapa Rendah Diri
5931,153.8 RIY m,Text,,20 Februari 2013,,,100-199,,Available,,,,,IDR,,,,Memotivasi Diri 
6515,158.1 DHI f,Text,,5 Juni 2016,,,100-199,,Available,,,,,IDR,,,,Fight Pray Hope
2547,158.2 COL m,Text,,25-Sep-04,,,100-199,,Available,,,,,IDR,,,,"Me My Self, & You"
5731,155.6 WAL e,Text,,31 oktober 2011,,,100-199,,Available,,,,,IDR,,,,Expansive Marriage
5362,153 GRA s,Text,,29 September 201o,,,100-199,,Available,,,,,IDR,,,,Strategi Hidup
7277,155 LAI a,Text,,14 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,a Young Girl's Diary
4547,181.1 yua M2,Text,,2 maret 2009,,,100-199,,Available,,,,,IDR,,,,Mutiara dari negeri China 2
6856,170 DHO s,Text,,11  Agustus 2017,,,100-199,,Available,,,,,IDR,,,,Secangkir The Di Pagi Hari
7299,1730MCL t,Text,,21 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Teenagers And parents
7298,158 SCH t,Text,,21 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,The Magic Of Thingking : 
7300,158 MAR s,Text,,21 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,1/2 Isi Kosong
7297,152.5 SET b,Text,,21 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Belajar Bijak dari Binatang
3573,128 WAL r,Text,,25-Sep-04,,,100-199,,Available,,,,,IDR,,,,Rahasia Kecil Kebahagiaan
6377,153 SUM r,Text,,10-Sep-14,,,100-199,,Available,,,,,IDR,,,,Rahasia Menjadi Sisswa Unggul
5067,158.4 LEI l,Text,,6-Apr-10,,,100-199,,Available,,,,,IDR,,,,Leading Your Team
4881,155.2 SHI k,Text,,12 Agustus 2008,,,100-199,,Available,,,,,IDR,,,,Ketika Cinta Berbuah Surga
4665,158.2 SIT b,Text,,16 mei 2009,,,100-199,,Available,,,,,IDR,,,,Berani Bermimpi
5461,152.1 ALA t,Text,,17 Desember 2010,,,100-199,,Available,,,,,IDR,,,,Tips Asah Ketajaman Konsentrasi Belajar Anak Setajam Silet
6626,128 TIM b,Text,,13 Februari 2017,,,100-199,,Available,,,,,IDR,,,,Berubah Atau Punah
3323,155.5 TIM e,Text,,13-Sep-03,,,100-199,,Available,,,,,IDR,,,,EQ Remaja
3618,173 SUS a,Text,,22 Oktober 2009,,,100-199,,Available,,,,,IDR,,,,Anak Saya Jenius
7267,153 GLE s,Text,,9 Oktober 2020,,,100-199,,Available,,,,,IDR,,,,Sukses Karena Percaya
2473,155 HAR t,Text,,17 Oktober 2001,,,100-199,,Available,,,,,IDR,,,,Tetap Oke
